Octopus_Gene	Human_Homolog	Percentage	E-value_octo2human
Ocbimv22008558m	TLR4	51.515	42.3
Ocbimv22039720m	MEP1B	51.515	42.3
Ocbimv22006369m	AP2M1	50.0	42.3
Ocbimv22010657m	RSPRY1	50.0	42.3
Ocbimv22012849m	PRKAA1	50.0	42.3
Ocbimv22012850m	PRKAA1	50.0	42.3
Ocbimv22015876m	NR3C1	50.0	42.3
Ocbimv22034234m	WDR81	50.0	42.3
Ocbimv22039055m	LACTB	50.0	42.3
Ocbimv22018807m	ROCK2	48.485	42.3
Ocbimv22000353m	DLG5	48.387	42.3
Ocbimv22002210m	CRIM1	48.0	42.3
Ocbimv22015918m	ABCF1	47.222	42.3
Ocbimv22019820m	ACAA1	47.059	42.3
Ocbimv22023528m	GSTZ1	47.059	42.3
Ocbimv22027007m	DNAJC11	47.059	42.3
Ocbimv22038027m	SNX31	46.667	42.3
Ocbimv22038028m	SNX31	46.667	42.3
Ocbimv22020958m	CD320	46.429	42.3
Ocbimv22024819m	CTSA	46.429	42.3
Ocbimv22001020m	KCTD5	46.341	42.3
Ocbimv22038907m	PREX2	46.154	42.3
Ocbimv22028333m	CCNP	45.714	42.3
Ocbimv22033076m	CASK	45.714	42.3
Ocbimv22035448m	CAMK2D	45.161	42.3
Ocbimv22021728m	KIF2C	44.444	42.3
Ocbimv22022132m	ILVBL	44.444	42.3
Ocbimv22003025m	TYR	44.0	42.3
Ocbimv22020745m	FITM1	43.902	42.3
Ocbimv22008189m	SLC16A13	43.75	42.3
Ocbimv22020137m	NIT2	42.857	42.3
Ocbimv22020138m	NIT2	42.857	42.3
Ocbimv22020139m	NIT2	42.857	42.3
Ocbimv22023948m	FLNB	42.222	42.3
Ocbimv22024067m	HMCN2	42.105	42.3
Ocbimv22003856m	TRIM10	41.935	42.3
Ocbimv22007585m	PPP3CC	41.935	42.3
Ocbimv22015865m	CCNC	41.86	42.3
Ocbimv22009182m	PCMTD1	41.667	42.3
Ocbimv22020797m	PIK3C2A	41.667	42.3
Ocbimv22022899m	PPP1R7	41.667	42.3
Ocbimv22022900m	PPP1R7	41.667	42.3
Ocbimv22033056m	NRDE2	41.667	42.3
Ocbimv22033057m	NRDE2	41.667	42.3
Ocbimv22018592m	KCNMA1	41.463	42.3
Ocbimv22001108m	TANC2	41.304	42.3
Ocbimv22018417m	PKD1	41.304	42.3
Ocbimv22022145m	NT5DC2	41.176	42.3
Ocbimv22029542m	GRTP1	41.026	42.3
Ocbimv22029543m	GRTP1	41.026	42.3
Ocbimv22029544m	GRTP1	41.026	42.3
Ocbimv22029545m	GRTP1	41.026	42.3
Ocbimv22029547m	GRTP1	41.026	42.3
Ocbimv22029548m	GRTP1	41.026	42.3
Ocbimv22029549m	GRTP1	41.026	42.3
Ocbimv22029550m	GRTP1	41.026	42.3
Ocbimv22029551m	GRTP1	41.026	42.3
Ocbimv22029552m	GRTP1	41.026	42.3
Ocbimv22003161m	LOXL3	40.541	42.3
Ocbimv22021297m	ERCC5	40.385	42.3
Ocbimv22022873m	DRD3	40.0	42.3
Ocbimv22015833m	TRIM67	39.394	42.3
Ocbimv22001410m	GALNT3	39.13	42.3
Ocbimv22005798m	ROCK2	38.889	42.3
Ocbimv22017438m	SNRK	38.889	42.3
Ocbimv22017439m	SNRK	38.889	42.3
Ocbimv22039552m	FAAH2	38.776	42.3
Ocbimv22039555m	FAAH2	38.776	42.3
Ocbimv22028767m	TECTA	38.462	42.3
Ocbimv22039260m	BCORL1	38.462	42.3
Ocbimv22037299m	RHEB	38.0	42.3
Ocbimv22002183m	CPNE1	37.838	42.3
Ocbimv22002184m	CPNE1	37.838	42.3
Ocbimv22024584m	THAP11	37.838	42.3
Ocbimv22003168m	CD163L1	37.778	42.3
Ocbimv22035435m	CASP7	37.736	42.3
Ocbimv22024068m	GAL3ST1	37.5	42.3
Ocbimv22028997m	IBTK	37.255	42.3
Ocbimv22021325m	SLC8A1	37.037	42.3
Ocbimv22032663m	ANK3	36.957	42.3
Ocbimv22033916m	ARL5C	36.957	42.3
Ocbimv22014167m	MARK3	36.735	42.3
Ocbimv22038697m	CNKSR1	36.585	42.3
Ocbimv22001627m	GM2A	36.538	42.3
Ocbimv22033557m	PECR	36.364	42.3
Ocbimv22017300m	AGRN	35.417	42.3
Ocbimv22012480m	EVI5	35.294	42.3
Ocbimv22034138m	NR2E1	35.135	42.3
Ocbimv22027524m	ACSM2B	35.0	42.3
Ocbimv22014599m	CPA1	34.783	42.3
Ocbimv22008293m	P4HA2	34.694	42.3
Ocbimv22030155m	ZNF329	34.694	42.3
Ocbimv22027666m	TRIL	34.328	42.3
Ocbimv22027748m	SLC12A7	34.091	42.3
Ocbimv22034589m	RDH8	34.043	42.3
Ocbimv22039497m	PAFAH1B1	34.043	42.3
Ocbimv22011027m	ABR	33.962	42.3
Ocbimv22015789m	WDR59	33.962	42.3
Ocbimv22011870m	HFM1	33.929	42.3
Ocbimv22001378m	SLC17A7	33.333	42.3
Ocbimv22004240m	SLC22A5	33.333	42.3
Ocbimv22008285m	IGF2R	33.333	42.3
Ocbimv22034503m	DNAAF4	33.333	42.3
Ocbimv22014640m	CYP3A5	32.727	42.3
Ocbimv22036528m	LAMA2	32.432	42.3
Ocbimv22010766m	CBY1	32.143	42.3
Ocbimv22026856m	SLC6A15	32.143	42.3
Ocbimv22030766m	ALAS2	32.143	42.3
Ocbimv22003042m	CDH10	31.667	42.3
Ocbimv22011769m	EEF1AKMT4-ECE2	31.481	42.3
Ocbimv22031546m	DNHD1	31.481	42.3
Ocbimv22031547m	DNHD1	31.481	42.3
Ocbimv22037827m	COL11A2	31.481	42.3
Ocbimv22039845m	LOXHD1	31.25	42.3
Ocbimv22014356m	HCN1	30.769	42.3
Ocbimv22029585m	ARAP3	30.508	42.3
Ocbimv22015070m	FKBP6	30.488	42.3
Ocbimv22031571m	RASGEF1B	30.303	42.3
Ocbimv22016525m	SLC2A14	30.189	42.3
Ocbimv22032063m	CHST13	29.787	42.3
Ocbimv22019560m	ALDH2	29.577	42.3
Ocbimv22019561m	ALDH2	29.577	42.3
Ocbimv22035366m	HACE1	29.31	42.3
Ocbimv22022039m	TOMM70	29.091	42.3
Ocbimv22028993m	COL12A1	28.814	42.3
Ocbimv22036123m	SLC2A7	28.125	42.3
Ocbimv22002407m	MATN1	27.711	42.3
Ocbimv22017138m	EHMT1	27.381	42.3
Ocbimv22034182m	GRIA2	27.143	42.3
Ocbimv22029721m	DERL2	27.119	42.3
Ocbimv22023924m	SVOP	26.866	42.3
Ocbimv22023925m	SVOP	26.866	42.3
Ocbimv22036695m	ADGRE5	26.786	42.3
Ocbimv22031966m	HTR1F	26.761	42.3
Ocbimv22004727m	MUC5AC	26.596	42.3
Ocbimv22025898m	DSPP	26.23	42.3
Ocbimv22004814m	COL27A1	25.926	42.3
Ocbimv22006262m	HTR1F	25.0	42.3
Ocbimv22006263m	HTR1F	25.0	42.3
Ocbimv22006264m	HTR1F	25.0	42.3
Ocbimv22027284m	PKDREJ	23.333	42.3
Ocbimv22007757m	SLC22A1	21.374	42.3
Ocbimv22004749m	G3BP1	93.75	42.4
Ocbimv22005465m	TRIP4	57.143	42.4
Ocbimv22021729m	KIF2C	44.444	42.4
Ocbimv22021730m	KIF2C	44.444	42.4
Ocbimv22021731m	KIF2C	44.444	42.4
Ocbimv22026743m	CCP110	36.842	42.4
Ocbimv22020840m	CDH26	34.783	42.4
Ocbimv22016386m	FAM149A	28.571	42.4
Ocbimv22016387m	FAM149A	28.571	42.4
Ocbimv22003940m	FOXO4	61.538	42.5
Ocbimv22026075m	PACRGL	52.778	42.5
Ocbimv22022220m	PDZD7	41.463	42.5
Ocbimv22020833m	CDH9	35.294	42.5
Ocbimv22020853m	CDH15	34.545	42.5
Ocbimv22016384m	FAM149A	28.571	42.5
Ocbimv22016385m	FAM149A	28.571	42.5
Ocbimv22020261m	CDH7	27.692	42.5
Ocbimv22001242m	CDH13	27.273	42.5
Ocbimv22028505m	SPTAN1	21.687	42.5
Ocbimv22011732m	DDX1	47.368	42.6
Ocbimv22018850m	KIF2C	44.444	42.6
Ocbimv22009689m	GLIS3	42.857	42.6
Ocbimv22025099m	FNDC3A	42.308	42.6
Ocbimv22039326m	CDHR2	31.481	42.6
Ocbimv22024578m	DMD	28.302	42.6
Ocbimv22020260m	CDH7	27.692	42.6
Ocbimv22001243m	CDH13	27.273	42.6
Ocbimv22019743m	COL13A1	55.172	42.7
Ocbimv22025592m	UBA3	45.763	42.7
Ocbimv22009429m	DDX3X	44.186	42.7
Ocbimv22039516m	FMN1	38.462	42.7
Ocbimv22008891m	YTHDC1	37.5	42.7
Ocbimv22004410m	CNP	36.17	42.7
Ocbimv22004411m	CNP	36.17	42.7
Ocbimv22020834m	CDH9	35.294	42.7
Ocbimv22039879m	TCTN2	31.034	42.7
Ocbimv22023469m	OBSCN	26.25	42.7
Ocbimv22012607m	ILF3	84.211	42.8
Ocbimv22012608m	ILF3	84.211	42.8
Ocbimv22015943m	H6PD	84.211	42.8
Ocbimv22011907m	PPP4C	77.778	42.8
Ocbimv22019089m	REXO2	73.913	42.8
Ocbimv22016217m	VPS4B	70.833	42.8
Ocbimv22030890m	NUBPL	70.833	42.8
Ocbimv22012672m	MRPS36	69.565	42.8
Ocbimv22013998m	BAIAP3	66.667	42.8
Ocbimv22038421m	PNCK	66.667	42.8
Ocbimv22013489m	SFTPA2	65.385	42.8
Ocbimv22032357m	SMAD5	65.385	42.8
Ocbimv22034230m	TKFC	61.538	42.8
Ocbimv22020642m	VWF	60.87	42.8
Ocbimv22029959m	DMBT1	60.87	42.8
Ocbimv22003237m	C19orf54	60.0	42.8
Ocbimv22033735m	ITGAE	59.259	42.8
Ocbimv22034180m	ANO4	59.259	42.8
Ocbimv22016944m	ADAP2	59.091	42.8
Ocbimv22002197m	RECQL4	58.333	42.8
Ocbimv22027720m	ANO6	56.667	42.8
Ocbimv22016025m	TRIM7	56.0	42.8
Ocbimv22038087m	LIN7C	55.172	42.8
Ocbimv22009604m	DNAJC11	53.846	42.8
Ocbimv22020064m	MOCOS	53.333	42.8
Ocbimv22025199m	TTLL9	53.333	42.8
Ocbimv22025200m	TTLL9	53.333	42.8
Ocbimv22006872m	CA1	53.125	42.8
Ocbimv22008525m	PUF60	52.941	42.8
Ocbimv22028461m	LMLN	52.0	42.8
Ocbimv22017696m	CPNE1	51.724	42.8
Ocbimv22017697m	CPNE1	51.724	42.8
Ocbimv22028879m	RXRB	50.0	42.8
Ocbimv22025413m	MID2	48.485	42.8
Ocbimv22009483m	LRP1B	48.387	42.8
Ocbimv22038025m	LAMA5	48.276	42.8
Ocbimv22034399m	KRT1	48.0	42.8
Ocbimv22014799m	TYSND1	47.059	42.8
Ocbimv22002239m	GABBR1	46.875	42.8
Ocbimv22008246m	ABCA5	46.154	42.8
Ocbimv22012661m	FOXO3	45.714	42.8
Ocbimv22018576m	DHRS4	45.455	42.8
Ocbimv22037043m	PTCH1	45.455	42.8
Ocbimv22037584m	ASB11	45.238	42.8
Ocbimv22018310m	CAPN7	45.161	42.8
Ocbimv22032542m	CHN1	45.161	42.8
Ocbimv22032543m	CHN1	45.161	42.8
Ocbimv22032544m	CHN1	45.161	42.8
Ocbimv22032545m	CHN1	45.161	42.8
Ocbimv22037862m	TEDC1	45.161	42.8
Ocbimv22025809m	ITGAX	44.737	42.8
Ocbimv22014000m	BAIAP3	44.444	42.8
Ocbimv22009430m	DDX3X	44.186	42.8
Ocbimv22001744m	ITIH1	44.118	42.8
Ocbimv22005392m	ESR1	44.118	42.8
Ocbimv22005393m	ESR1	44.118	42.8
Ocbimv22031180m	RNLS	44.118	42.8
Ocbimv22000140m	ANK3	43.902	42.8
Ocbimv22007591m	ADGRD1	43.243	42.8
Ocbimv22031987m	FSTL5	42.857	42.8
Ocbimv22021491m	ELAPOR2	42.424	42.8
Ocbimv22033196m	RPGR	42.308	42.8
Ocbimv22006169m	TMEM145	41.667	42.8
Ocbimv22022027m	PHF14	41.667	42.8
Ocbimv22022028m	PHF14	41.667	42.8
Ocbimv22022029m	PHF14	41.667	42.8
Ocbimv22022030m	PHF14	41.667	42.8
Ocbimv22030955m	MUC2	41.667	42.8
Ocbimv22017297m	ANKRD61	41.463	42.8
Ocbimv22004843m	SCARF1	41.379	42.8
Ocbimv22003920m	CAPN15	41.026	42.8
Ocbimv22009008m	CASP14	41.026	42.8
Ocbimv22026600m	MYL9	41.026	42.8
Ocbimv22026928m	RPGRIP1	41.026	42.8
Ocbimv22007139m	SMPDL3B	40.541	42.8
Ocbimv22006458m	ANKFY1	40.476	42.8
Ocbimv22026474m	ANLN	40.476	42.8
Ocbimv22001491m	SLC6A16	40.426	42.8
Ocbimv22002168m	SNX32	40.0	42.8
Ocbimv22010700m	FLRT3	40.0	42.8
Ocbimv22014892m	ITIH1	40.0	42.8
Ocbimv22017246m	GALR2	40.0	42.8
Ocbimv22021019m	TUBG1	40.0	42.8
Ocbimv22024591m	FAM166A	39.394	42.8
Ocbimv22024592m	FAM166A	39.394	42.8
Ocbimv22030878m	SLC16A4	39.024	42.8
Ocbimv22030879m	SLC16A4	39.024	42.8
Ocbimv22029405m	TUFM	38.889	42.8
Ocbimv22004733m	TBC1D17	38.636	42.8
Ocbimv22004734m	TBC1D17	38.636	42.8
Ocbimv22004737m	TBC1D17	38.636	42.8
Ocbimv22004745m	TBC1D17	38.636	42.8
Ocbimv22007185m	MSANTD3-TMEFF1	38.235	42.8
Ocbimv22001882m	CAPN10	37.838	42.8
Ocbimv22034812m	PDIA6	37.778	42.8
Ocbimv22009006m	CASP9	37.5	42.8
Ocbimv22019269m	SELE	37.143	42.8
Ocbimv22004818m	COL1A1	36.842	42.8
Ocbimv22024458m	VRK2	36.842	42.8
Ocbimv22013050m	RAB1B	36.585	42.8
Ocbimv22013051m	RAB1B	36.585	42.8
Ocbimv22020469m	MCM7	36.17	42.8
Ocbimv22023277m	SPOP	36.0	42.8
Ocbimv22023278m	SPOP	36.0	42.8
Ocbimv22023279m	SPOP	36.0	42.8
Ocbimv22007715m	IVL	35.897	42.8
Ocbimv22011104m	FAM200A	35.849	42.8
Ocbimv22035036m	EED	35.593	42.8
Ocbimv22026231m	RFX2	35.294	42.8
Ocbimv22026430m	MCM7	35.294	42.8
Ocbimv22025468m	ARHGEF17	34.615	42.8
Ocbimv22006803m	PAQR7	34.146	42.8
Ocbimv22006805m	PAQR7	34.146	42.8
Ocbimv22012482m	CDH9	34.091	42.8
Ocbimv22018730m	SLC22A25	34.091	42.8
Ocbimv22034769m	ADAMTS1	34.091	42.8
Ocbimv22000763m	SLC22A1	33.962	42.8
Ocbimv22033705m	TMC6	33.962	42.8
Ocbimv22017749m	SLCO2B1	33.871	42.8
Ocbimv22001790m	SLC25A40	33.333	42.8
Ocbimv22010621m	NCEH1	33.333	42.8
Ocbimv22022444m	ABCC12	33.333	42.8
Ocbimv22028170m	RASGRP4	33.333	42.8
Ocbimv22030634m	ZFP64	33.333	42.8
Ocbimv22035664m	GPR139	33.333	42.8
Ocbimv22027761m	ACAN	32.653	42.8
Ocbimv22020052m	PDE10A	32.308	42.8
Ocbimv22011534m	MAP3K19	31.818	42.8
Ocbimv22005246m	B3GALNT1	31.579	42.8
Ocbimv22002258m	COL7A1	31.507	42.8
Ocbimv22018279m	XPO1	31.481	42.8
Ocbimv22034807m	ITGA2	31.481	42.8
Ocbimv22014598m	COL6A6	31.373	42.8
Ocbimv22017473m	ACTR2	31.25	42.8
Ocbimv22012773m	SLITRK4	31.148	42.8
Ocbimv22013870m	UGT2B7	30.909	42.8
Ocbimv22006599m	SLC22A10	30.357	42.8
Ocbimv22029617m	SLC5A11	30.137	42.8
Ocbimv22027526m	ACSS3	30.12	42.8
Ocbimv22038722m	ALAS1	29.825	42.8
Ocbimv22020844m	CDH4	29.577	42.8
Ocbimv22020561m	VWF	28.788	42.8
Ocbimv22004001m	ADRA2B	28.571	42.8
Ocbimv22006638m	KDM8	28.571	42.8
Ocbimv22005982m	RTEL1	27.778	42.8
Ocbimv22005983m	RTEL1	27.778	42.8
Ocbimv22037050m	GNB3	27.778	42.8
Ocbimv22036491m	EPX	27.397	42.8
Ocbimv22014896m	ITIH1	27.143	42.8
Ocbimv22003869m	MCM7	26.866	42.8
Ocbimv22018469m	PSMA1	26.761	42.8
Ocbimv22038399m	B3GNT2	26.389	42.8
Ocbimv22035347m	WSB2	26.23	42.8
Ocbimv22026733m	SLC17A3	25.926	42.8
Ocbimv22009747m	HNRNPA1	25.862	42.8
Ocbimv22003775m	FASTKD1	25.217	42.8
Ocbimv22033220m	SZRD1	60.0	42.9
Ocbimv22025459m	PRPH	59.259	42.9
Ocbimv22033540m	GAS2L1	54.839	42.9
Ocbimv22035999m	UBL7	54.545	42.9
Ocbimv22036000m	UBL7	54.545	42.9
Ocbimv22010986m	C10orf90	48.485	42.9
Ocbimv22014751m	FOXO4	39.13	42.9
Ocbimv22019817m	SPAST	60.0	43.0
Ocbimv22019818m	SPAST	60.0	43.0
Ocbimv22033759m	SSNA1	58.621	43.0
Ocbimv22019912m	SYT3	45.946	43.0
Ocbimv22019913m	SYT3	45.946	43.0
Ocbimv22019916m	SYT3	45.946	43.0
Ocbimv22019917m	SYT3	45.946	43.0
Ocbimv22019918m	SYT3	45.946	43.0
Ocbimv22019919m	SYT3	45.946	43.0
Ocbimv22030921m	NCL	45.946	43.0
Ocbimv22003030m	YJU2B	39.583	43.0
Ocbimv22017911m	ESPN	39.583	43.0
Ocbimv22017912m	ESPN	39.583	43.0
Ocbimv22017913m	ESPN	39.583	43.0
Ocbimv22017914m	ESPN	39.583	43.0
Ocbimv22017915m	ESPN	39.583	43.0
Ocbimv22017917m	ESPN	39.583	43.0
Ocbimv22017918m	ESPN	39.583	43.0
Ocbimv22017919m	ESPN	39.583	43.0
Ocbimv22017920m	ESPN	39.583	43.0
Ocbimv22017921m	ESPN	39.583	43.0
Ocbimv22017922m	ESPN	39.583	43.0
Ocbimv22017923m	ESPN	39.583	43.0
Ocbimv22017924m	ESPN	39.583	43.0
Ocbimv22017925m	ESPN	39.583	43.0
Ocbimv22017926m	ESPN	39.583	43.0
Ocbimv22017927m	ESPN	39.583	43.0
Ocbimv22017929m	ESPN	39.583	43.0
Ocbimv22017930m	ESPN	39.583	43.0
Ocbimv22017931m	ESPN	39.583	43.0
Ocbimv22017932m	ESPN	39.583	43.0
Ocbimv22017933m	ESPN	39.583	43.0
Ocbimv22017934m	ESPN	39.583	43.0
Ocbimv22017935m	ESPN	39.583	43.0
Ocbimv22017936m	ESPN	39.583	43.0
Ocbimv22017937m	ESPN	39.583	43.0
Ocbimv22017941m	ESPN	39.583	43.0
Ocbimv22017943m	ESPN	39.583	43.0
Ocbimv22017944m	ESPN	39.583	43.0
Ocbimv22017945m	ESPN	39.583	43.0
Ocbimv22017946m	ESPN	39.583	43.0
Ocbimv22017947m	ESPN	39.583	43.0
Ocbimv22017948m	ESPN	39.583	43.0
Ocbimv22017949m	ESPN	39.583	43.0
Ocbimv22017951m	ESPN	39.583	43.0
Ocbimv22017952m	ESPN	39.583	43.0
Ocbimv22017953m	ESPN	39.583	43.0
Ocbimv22017954m	ESPN	39.583	43.0
Ocbimv22017955m	ESPN	39.583	43.0
Ocbimv22017957m	ESPN	39.583	43.0
Ocbimv22017958m	ESPN	39.583	43.0
Ocbimv22017960m	ESPN	39.583	43.0
Ocbimv22017962m	ESPN	39.583	43.0
Ocbimv22017963m	ESPN	39.583	43.0
Ocbimv22017964m	ESPN	39.583	43.0
Ocbimv22017965m	ESPN	39.583	43.0
Ocbimv22017966m	ESPN	39.583	43.0
Ocbimv22017967m	ESPN	39.583	43.0
Ocbimv22017968m	ESPN	39.583	43.0
Ocbimv22017970m	ESPN	39.583	43.0
Ocbimv22017971m	ESPN	39.583	43.0
Ocbimv22017972m	ESPN	39.583	43.0
Ocbimv22017974m	ESPN	39.583	43.0
Ocbimv22017975m	ESPN	39.583	43.0
Ocbimv22017976m	ESPN	39.583	43.0
Ocbimv22017977m	ESPN	39.583	43.0
Ocbimv22017978m	ESPN	39.583	43.0
Ocbimv22017979m	ESPN	39.583	43.0
Ocbimv22017980m	ESPN	39.583	43.0
Ocbimv22017981m	ESPN	39.583	43.0
Ocbimv22017982m	ESPN	39.583	43.0
Ocbimv22017983m	ESPN	39.583	43.0
Ocbimv22017984m	ESPN	39.583	43.0
Ocbimv22017985m	ESPN	39.583	43.0
Ocbimv22017988m	ESPN	39.583	43.0
Ocbimv22017991m	ESPN	39.583	43.0
Ocbimv22017992m	ESPN	39.583	43.0
Ocbimv22017993m	ESPN	39.583	43.0
Ocbimv22017994m	ESPN	39.583	43.0
Ocbimv22017995m	ESPN	39.583	43.0
Ocbimv22017996m	ESPN	39.583	43.0
Ocbimv22018000m	ESPN	39.583	43.0
Ocbimv22018001m	ESPN	39.583	43.0
Ocbimv22018002m	ESPN	39.583	43.0
Ocbimv22018003m	ESPN	39.583	43.0
Ocbimv22018007m	ESPN	39.583	43.0
Ocbimv22018008m	ESPN	39.583	43.0
Ocbimv22018009m	ESPN	39.583	43.0
Ocbimv22018010m	ESPN	39.583	43.0
Ocbimv22018012m	ESPN	39.583	43.0
Ocbimv22018014m	ESPN	39.583	43.0
Ocbimv22018015m	ESPN	39.583	43.0
Ocbimv22018016m	ESPN	39.583	43.0
Ocbimv22018018m	ESPN	39.583	43.0
Ocbimv22018019m	ESPN	39.583	43.0
Ocbimv22018020m	ESPN	39.583	43.0
Ocbimv22018021m	ESPN	39.583	43.0
Ocbimv22018023m	ESPN	39.583	43.0
Ocbimv22018025m	ESPN	39.583	43.0
Ocbimv22018026m	ESPN	39.583	43.0
Ocbimv22018027m	ESPN	39.583	43.0
Ocbimv22018028m	ESPN	39.583	43.0
Ocbimv22018031m	ESPN	39.583	43.0
Ocbimv22018032m	ESPN	39.583	43.0
Ocbimv22018034m	ESPN	39.583	43.0
Ocbimv22018035m	ESPN	39.583	43.0
Ocbimv22018036m	ESPN	39.583	43.0
Ocbimv22018037m	ESPN	39.583	43.0
Ocbimv22007824m	SENP5	38.889	43.0
Ocbimv22007825m	SENP5	38.889	43.0
Ocbimv22007826m	SENP5	38.889	43.0
Ocbimv22007827m	SENP5	38.889	43.0
Ocbimv22026350m	ARID1B	38.298	43.0
Ocbimv22006339m	OS9	36.735	43.0
Ocbimv22017298m	SEC14L4	35.088	43.0
Ocbimv22027968m	SPEM3	34.921	43.0
Ocbimv22000374m	SESTD1	34.694	43.0
Ocbimv22035722m	KLHL4	32.727	43.0
Ocbimv22035723m	KLHL4	32.727	43.0
Ocbimv22035724m	KLHL4	32.727	43.0
Ocbimv22001166m	TPR	32.432	43.0
Ocbimv22017162m	CLASP1	31.25	43.0
Ocbimv22000493m	POC1A	26.136	43.0
Ocbimv22007655m	KIRREL1	25.352	43.0
Ocbimv22020419m	H2AZ2	60.0	43.1
Ocbimv22025166m	RIMBP3C	60.0	43.1
Ocbimv22009229m	ARFGAP2	58.065	43.1
Ocbimv22036915m	ZC3H13	56.522	43.1
Ocbimv22019914m	SYT3	45.946	43.1
Ocbimv22019915m	SYT3	45.946	43.1
Ocbimv22017695m	CNN3	45.0	43.1
Ocbimv22014877m	ANKRD29	42.593	43.1
Ocbimv22015100m	DLG2	40.909	43.1
Ocbimv22017910m	ESPN	39.583	43.1
Ocbimv22017916m	ESPN	39.583	43.1
Ocbimv22017928m	ESPN	39.583	43.1
Ocbimv22017938m	ESPN	39.583	43.1
Ocbimv22017939m	ESPN	39.583	43.1
Ocbimv22017940m	ESPN	39.583	43.1
Ocbimv22017942m	ESPN	39.583	43.1
Ocbimv22017950m	ESPN	39.583	43.1
Ocbimv22017956m	ESPN	39.583	43.1
Ocbimv22017959m	ESPN	39.583	43.1
Ocbimv22017961m	ESPN	39.583	43.1
Ocbimv22017969m	ESPN	39.583	43.1
Ocbimv22017973m	ESPN	39.583	43.1
Ocbimv22017986m	ESPN	39.583	43.1
Ocbimv22017987m	ESPN	39.583	43.1
Ocbimv22017989m	ESPN	39.583	43.1
Ocbimv22017990m	ESPN	39.583	43.1
Ocbimv22017997m	ESPN	39.583	43.1
Ocbimv22017998m	ESPN	39.583	43.1
Ocbimv22017999m	ESPN	39.583	43.1
Ocbimv22018004m	ESPN	39.583	43.1
Ocbimv22018005m	ESPN	39.583	43.1
Ocbimv22018006m	ESPN	39.583	43.1
Ocbimv22018011m	ESPN	39.583	43.1
Ocbimv22018013m	ESPN	39.583	43.1
Ocbimv22018017m	ESPN	39.583	43.1
Ocbimv22018022m	ESPN	39.583	43.1
Ocbimv22018024m	ESPN	39.583	43.1
Ocbimv22018029m	ESPN	39.583	43.1
Ocbimv22018030m	ESPN	39.583	43.1
Ocbimv22018033m	ESPN	39.583	43.1
Ocbimv22012487m	CDH9	38.776	43.1
Ocbimv22031167m	ARNT2	36.735	43.1
Ocbimv22024272m	MAGI2	35.714	43.1
Ocbimv22029039m	DHX33	35.714	43.1
Ocbimv22016840m	SVIL	35.294	43.1
Ocbimv22009808m	MUC5AC	34.286	43.1
Ocbimv22039309m	DSG3	33.898	43.1
Ocbimv22017161m	CLASP1	31.25	43.1
Ocbimv22002096m	ALG13	100.0	43.2
Ocbimv22004648m	FAM98B	100.0	43.2
Ocbimv22026009m	PAX6	85.0	43.2
Ocbimv22026026m	MKS1	78.947	43.2
Ocbimv22017181m	IFT122	72.727	43.2
Ocbimv22002488m	G2E3	70.588	43.2
Ocbimv22011482m	BCS1L	66.667	43.2
Ocbimv22029915m	DNAH8	62.963	43.2
Ocbimv22020234m	ZNF441	61.538	43.2
Ocbimv22032516m	CASP9	59.375	43.2
Ocbimv22034295m	PLD3	57.143	43.2
Ocbimv22012232m	PCYT1A	55.172	43.2
Ocbimv22015973m	GPR139	55.172	43.2
Ocbimv22006537m	SLC39A2	54.839	43.2
Ocbimv22015513m	ABCB7	54.545	43.2
Ocbimv22027947m	ZAN	54.167	43.2
Ocbimv22031455m	RYR1	53.125	43.2
Ocbimv22023426m	CES4A	51.613	43.2
Ocbimv22030350m	NOCT	51.515	43.2
Ocbimv22036607m	GRIPAP1	51.351	43.2
Ocbimv22001582m	UBE2I	50.0	43.2
Ocbimv22003837m	PLEKHM1	50.0	43.2
Ocbimv22003838m	PLEKHM1	50.0	43.2
Ocbimv22011649m	SLC17A9	50.0	43.2
Ocbimv22033388m	CMPK1	50.0	43.2
Ocbimv22005591m	DDX39A	48.649	43.2
Ocbimv22037570m	GLIPR2	48.571	43.2
Ocbimv22004909m	WFDC6	48.485	43.2
Ocbimv22018582m	DHRS4	48.485	43.2
Ocbimv22018583m	DHRS4	48.485	43.2
Ocbimv22022654m	CDIPT	48.485	43.2
Ocbimv22030751m	DDX56	48.485	43.2
Ocbimv22007114m	MAPKAP1	48.387	43.2
Ocbimv22015281m	SLCO6A1	48.276	43.2
Ocbimv22032587m	ALG8	48.0	43.2
Ocbimv22031289m	ABCB9	47.059	43.2
Ocbimv22009823m	CTSH	46.875	43.2
Ocbimv22004578m	GPD1L	46.667	43.2
Ocbimv22031959m	PDP1	46.512	43.2
Ocbimv22031960m	PDP1	46.512	43.2
Ocbimv22000785m	ARL9	46.154	43.2
Ocbimv22016521m	ABCB11	46.154	43.2
Ocbimv22025322m	MYO19	46.154	43.2
Ocbimv22004381m	SLC22A12	45.946	43.2
Ocbimv22004382m	SLC22A12	45.946	43.2
Ocbimv22021255m	GABRA6	45.946	43.2
Ocbimv22005260m	HCN4	45.455	43.2
Ocbimv22020256m	CRELD1	45.455	43.2
Ocbimv22026038m	KCP	45.161	43.2
Ocbimv22026044m	GRAP	45.161	43.2
Ocbimv22031847m	CYP17A1	44.737	43.2
Ocbimv22037986m	VWF	44.444	43.2
